date,time,SUV Intensity [MED/Hr],UV Index,Daily total [MED],Since Last [MED]
09/09/2021,10:21:26,0.210,0.0,1.061,1.061
09/09/2021,10:24:57,0.156,0.0,1.072,0.011
09/09/2021,10:32:28,0.238,1.0,1.099,0.027
09/09/2021,10:35:29,0.250,1.0,1.111,0.012
09/09/2021,10:43:07,0.460,1.0,1.155,0.044
09/09/2021,10:45:07,0.507,1.0,1.171,0.016
09/09/2021,10:47:06,0.568,1.0,1.189,0.018
09/09/2021,10:49:04,0.701,2.0,1.21,0.021
09/09/2021,10:51:04,0.712,2.0,1.233,0.023
09/09/2021,10:52:04,0.681,2.0,1.245,0.012
09/09/2021,10:53:03,0.624,1.0,1.256,0.011
09/09/2021,10:54:04,0.583,1.0,1.266,0.01
09/09/2021,10:55:04,0.578,1.0,1.276,0.01
09/09/2021,10:56:03,0.658,2.0,1.286,0.01
09/09/2021,10:57:03,0.711,2.0,1.297,0.011
09/09/2021,10:58:03,0.787,2.0,1.309,0.012
09/09/2021,10:59:04,1.097,3.0,1.325,0.016
09/09/2021,11:00:01,1.149,3.0,1.344,0.019
09/09/2021,11:01:02,1.099,3.0,1.362,0.018
09/09/2021,11:02:04,1.070,2.0,1.381,0.019
09/09/2021,11:03:03,0.935,2.0,1.398,0.017
09/09/2021,11:04:03,0.905,2.0,1.412,0.014
09/09/2021,11:05:03,0.996,2.0,1.428,0.016
09/09/2021,11:06:04,0.946,2.0,1.446,0.018
09/09/2021,11:07:04,0.692,2.0,1.459,0.013
09/09/2021,11:08:03,0.497,1.0,1.469,0.01
09/09/2021,11:09:04,0.477,1.0,1.477,0.008
09/09/2021,11:10:03,0.620,1.0,1.485,0.008
09/09/2021,11:11:04,0.781,2.0,1.498,0.013
09/09/2021,11:12:04,0.767,2.0,1.511,0.013
09/09/2021,11:13:03,0.617,1.0,1.522,0.011
09/09/2021,11:14:03,0.483,1.0,1.531,0.009
09/09/2021,11:15:04,0.482,1.0,1.539,0.008
09/09/2021,11:16:12,0.545,1.0,1.549,0.01
09/09/2021,11:18:05,0.593,1.0,1.567,0.018
09/09/2021,11:20:02,0.882,2.0,1.591,0.024
09/09/2021,11:21:02,1.085,2.0,1.607,0.016
09/09/2021,11:22:02,1.109,3.0,1.626,0.019
09/09/2021,11:23:02,1.162,3.0,1.645,0.019
09/09/2021,11:24:03,1.116,3.0,1.665,0.02
09/09/2021,11:25:03,1.111,3.0,1.683,0.018
09/09/2021,11:26:04,1.040,2.0,1.701,0.018
09/09/2021,11:27:04,0.947,2.0,1.718,0.017
09/09/2021,11:28:01,0.910,2.0,1.733,0.015
09/09/2021,11:29:01,0.835,2.0,1.747,0.014
09/09/2021,11:30:04,0.739,2.0,1.761,0.014
09/09/2021,11:31:04,0.642,1.0,1.772,0.011
09/09/2021,11:32:01,0.625,1.0,1.782,0.01
09/09/2021,11:33:02,0.738,2.0,1.794,0.012
09/09/2021,11:34:03,0.845,2.0,1.807,0.013
09/09/2021,11:35:12,0.928,2.0,1.824,0.017
09/09/2021,11:37:05,1.015,2.0,1.853,0.029
09/09/2021,11:39:14,0.937,2.0,1.891,0.038
09/09/2021,11:41:05,0.905,2.0,1.918,0.027
09/09/2021,11:43:05,0.754,2.0,1.946,0.028
09/09/2021,11:45:06,0.708,2.0,1.97,0.024
09/09/2021,11:47:04,0.559,1.0,1.991,0.021
09/09/2021,11:49:13,0.676,2.0,2.012,0.021
09/09/2021,11:51:04,0.955,2.0,2.037,0.025
09/09/2021,11:53:05,1.202,3.0,2.075,0.038
09/09/2021,11:55:05,1.571,4.0,2.121,0.046
09/09/2021,11:56:07,1.184,3.0,2.144,0.023
09/09/2021,11:58:04,0.687,2.0,2.174,0.03
09/09/2021,12:00:12,0.615,1.0,2.197,0.023
09/09/2021,12:02:04,0.658,2.0,2.216,0.019
09/09/2021,12:04:05,1.146,3.0,2.246,0.03
09/09/2021,12:06:05,1.324,3.0,2.289,0.043
09/09/2021,12:08:05,1.365,3.0,2.336,0.047
09/09/2021,12:10:05,1.175,3.0,2.381,0.045
09/09/2021,12:12:05,0.940,2.0,2.415,0.034
09/09/2021,12:14:05,0.877,2.0,2.445,0.03
09/09/2021,12:16:05,0.931,2.0,2.475,0.03
09/09/2021,12:18:05,0.687,2.0,2.503,0.028
09/09/2021,12:20:04,0.485,1.0,2.522,0.019
09/09/2021,12:22:05,0.537,1.0,2.539,0.017
09/09/2021,12:24:05,0.463,1.0,2.556,0.017
