date,time,SUV Intensity [MED/Hr],UV Index,Daily total [MED],Since Last [MED]
12/11/2021,00:00:50,0.000,0.0,0.0,0.0
12/11/2021,00:02:04,0.000,0.0,0.0,0.0
12/11/2021,00:03:04,0.001,0.0,0.0,0.0
12/11/2021,00:04:05,0.000,0.0,0.0,0.0
12/11/2021,00:05:12,0.000,0.0,0.0,0.0
12/11/2021,00:06:03,0.000,0.0,0.0,0.0
12/11/2021,00:07:05,0.000,0.0,0.0,0.0
12/11/2021,00:08:05,0.000,0.0,0.0,0.0
12/11/2021,00:09:03,0.001,0.0,0.0,0.0
12/11/2021,00:10:04,0.000,0.0,0.0,0.0
12/11/2021,00:11:04,0.001,0.0,0.0,0.0
12/11/2021,00:12:03,0.001,0.0,0.0,0.0
12/11/2021,00:13:04,0.000,0.0,0.0,0.0
12/11/2021,00:14:03,0.000,0.0,0.0,0.0
12/11/2021,00:15:04,0.000,0.0,0.0,0.0
12/11/2021,00:16:04,0.001,0.0,0.0,0.0
12/11/2021,00:17:04,0.000,0.0,0.0,0.0
12/11/2021,00:18:04,0.000,0.0,0.0,0.0
12/11/2021,00:19:04,0.001,0.0,0.0,0.0
12/11/2021,00:20:12,0.000,0.0,0.0,0.0
12/11/2021,00:21:04,0.001,0.0,0.0,0.0
12/11/2021,00:22:04,-0.000,0.0,0.0,0.0
12/11/2021,00:23:12,0.000,0.0,0.0,0.0
12/11/2021,00:24:04,-0.000,0.0,0.0,0.0
12/11/2021,00:25:04,0.000,0.0,0.0,0.0
12/11/2021,00:26:11,0.000,0.0,0.0,0.0
12/11/2021,00:27:03,-0.000,0.0,0.0,0.0
12/11/2021,00:28:05,0.000,0.0,0.0,0.0
12/11/2021,00:29:03,0.000,0.0,0.0,0.0
12/11/2021,00:30:04,-0.000,0.0,0.0,0.0
12/11/2021,00:31:03,0.000,0.0,0.0,0.0
12/11/2021,00:32:04,0.001,0.0,0.0,0.0
12/11/2021,00:33:04,0.000,0.0,0.0,0.0
12/11/2021,00:34:04,0.001,0.0,0.0,0.0
12/11/2021,00:35:03,0.001,0.0,0.0,0.0
12/11/2021,00:36:04,0.001,0.0,0.0,0.0
