date,time,SUV Intensity [MED/Hr],UV Index,Daily total [MED],Since Last [MED]
03/11/2021,00:02:08,0.000,0.0,0.0,0.0
03/11/2021,00:04:08,0.000,0.0,0.0,0.0
03/11/2021,00:06:08,-0.001,0.0,0.0,0.0
03/11/2021,00:08:05,0.000,0.0,0.0,0.0
03/11/2021,00:10:16,-0.000,0.0,0.0,0.0
03/11/2021,00:12:09,-0.001,0.0,0.0,0.0
03/11/2021,00:14:18,-0.000,0.0,0.0,0.0
03/11/2021,00:16:08,-0.000,0.0,0.0,0.0
03/11/2021,00:18:06,0.000,0.0,0.0,0.0
03/11/2021,00:20:08,0.000,0.0,0.0,0.0
03/11/2021,00:21:59,-0.001,0.0,0.0,0.0
03/11/2021,00:24:07,-0.001,0.0,0.0,0.0
03/11/2021,00:26:10,0.000,0.0,0.0,0.0
03/11/2021,00:28:08,0.001,0.0,0.0,0.0
03/11/2021,00:30:07,0.001,0.0,0.0,0.0
03/11/2021,00:32:08,0.001,0.0,0.0,0.0
03/11/2021,00:34:07,0.000,0.0,0.0,0.0
03/11/2021,00:36:07,0.000,0.0,0.0,0.0
03/11/2021,00:38:17,0.001,0.0,0.0,0.0
03/11/2021,00:40:06,-0.000,0.0,0.0,0.0
03/11/2021,00:42:07,0.000,0.0,0.0,0.0
03/11/2021,00:44:08,0.001,0.0,0.0,0.0
03/11/2021,00:46:06,0.000,0.0,0.0,0.0
03/11/2021,00:48:20,0.001,0.0,0.0,0.0
03/11/2021,00:50:07,0.000,0.0,0.0,0.0
03/11/2021,00:52:06,0.001,0.0,0.0,0.0
03/11/2021,00:54:07,0.000,0.0,0.0,0.0
03/11/2021,00:56:02,0.000,0.0,0.0,0.0
03/11/2021,00:58:08,0.001,0.0,0.0,0.0
03/11/2021,01:00:07,-0.001,0.0,0.0,0.0
03/11/2021,01:02:04,-0.001,0.0,0.0,0.0
03/11/2021,01:04:09,0.000,0.0,0.0,0.0
03/11/2021,01:06:16,0.000,0.0,0.0,0.0
03/11/2021,01:08:09,-0.000,0.0,0.0,0.0
03/11/2021,01:10:06,-0.000,0.0,0.0,0.0
03/11/2021,01:12:05,-0.000,0.0,0.0,0.0
03/11/2021,01:14:08,0.001,0.0,0.0,0.0
03/11/2021,01:16:06,-0.001,0.0,0.0,0.0
03/11/2021,01:16:56,0.001,0.0,0.0,0.0
03/11/2021,01:17:57,0.001,0.0,0.0,0.0
03/11/2021,01:18:57,0.000,0.0,0.0,0.0
03/11/2021,01:19:57,0.001,0.0,0.0,0.0
03/11/2021,01:20:59,0.000,0.0,0.0,0.0
03/11/2021,01:21:58,0.002,0.0,0.0,0.0
03/11/2021,01:22:58,0.000,0.0,0.0,0.0
03/11/2021,01:23:57,0.001,0.0,0.0,0.0
03/11/2021,01:25:05,-0.000,0.0,0.0,0.0
03/11/2021,01:25:57,0.000,0.0,0.0,0.0
03/11/2021,01:26:57,0.000,0.0,0.0,0.0
03/11/2021,01:27:58,0.000,0.0,0.0,0.0
03/11/2021,01:28:57,-0.001,0.0,0.0,0.0
03/11/2021,01:29:57,0.001,0.0,0.0,0.0
03/11/2021,01:30:57,0.000,0.0,0.0,0.0
03/11/2021,01:31:57,0.001,0.0,0.0,0.0
03/11/2021,01:32:57,-0.000,0.0,0.0,0.0
03/11/2021,01:33:57,0.000,0.0,0.0,0.0
03/11/2021,01:34:59,0.000,0.0,0.0,0.0
03/11/2021,01:35:56,-0.000,0.0,0.0,0.0
03/11/2021,01:36:57,0.000,0.0,0.0,0.0
03/11/2021,01:37:57,0.001,0.0,0.0,0.0
03/11/2021,01:38:57,0.001,0.0,0.0,0.0
03/11/2021,01:40:06,0.001,0.0,0.0,0.0
03/11/2021,01:40:57,0.000,0.0,0.0,0.0
03/11/2021,01:41:57,0.000,0.0,0.0,0.0
03/11/2021,01:43:05,0.001,0.0,0.0,0.0
03/11/2021,01:43:58,0.000,0.0,0.0,0.0
03/11/2021,01:44:57,0.001,0.0,0.0,0.0
03/11/2021,01:45:56,0.000,0.0,0.0,0.0
03/11/2021,01:46:57,0.000,0.0,0.0,0.0
03/11/2021,01:47:57,0.000,0.0,0.0,0.0
03/11/2021,01:48:57,0.001,0.0,0.0,0.0
03/11/2021,01:50:05,-0.000,0.0,0.0,0.0
03/11/2021,01:50:57,-0.001,0.0,0.0,0.0
03/11/2021,01:51:57,0.000,0.0,0.0,0.0
03/11/2021,01:52:56,0.001,0.0,0.0,0.0
03/11/2021,01:53:57,0.000,0.0,0.0,0.0
03/11/2021,01:54:57,0.000,0.0,0.0,0.0
03/11/2021,01:55:57,0.000,0.0,0.0,0.0
03/11/2021,01:56:57,-0.000,0.0,0.0,0.0
03/11/2021,01:57:57,0.001,0.0,0.0,0.0
03/11/2021,01:58:58,0.001,0.0,0.0,0.0
03/11/2021,01:59:56,0.000,0.0,0.0,0.0
03/11/2021,02:01:05,0.000,0.0,0.0,0.0
03/11/2021,02:01:56,-0.000,0.0,0.0,0.0
03/11/2021,02:02:57,0.001,0.0,0.0,0.0
03/11/2021,02:03:57,0.000,0.0,0.0,0.0
03/11/2021,02:04:58,0.000,0.0,0.0,0.0
03/11/2021,02:05:56,0.000,0.0,0.0,0.0
03/11/2021,02:06:58,0.000,0.0,0.0,0.0
03/11/2021,02:08:06,0.001,0.0,0.0,0.0
03/11/2021,02:08:56,0.001,0.0,0.0,0.0
03/11/2021,02:09:57,-0.001,0.0,0.0,0.0
03/11/2021,02:11:05,0.000,0.0,0.0,0.0
03/11/2021,02:11:57,0.000,0.0,0.0,0.0
03/11/2021,02:12:57,0.000,0.0,0.0,0.0
