date,total_sun_per_day,mean_wind_per_day,mean_wind_direction_per_day,mean_temperature_per_day,total_rain_per_day,mean_pressure_per_day,total_sun_3to4pm,total_sun_1to8pm,mean_wind_direction_9to10am,mean_wind_9to10am,mean_humidity_9to10am,mean_pressure_9to10am
2016-04-15,0.0,0.19224217311233888,144.04972375690608,7.247571362799263,5.3,998.9830801104972,0.0,0.0,50.3646408839779,0.043093922651933694,83.15082872928177,997.0
2016-04-16,1.69,0.539382772915707,278.9649930907416,3.511377245508982,3.05,1002.7576001842469,0.77,1.69,287.707182320442,1.2748618784530388,42.83011049723757,1004.0
2016-04-17,7.19,0.21410640257945648,256.5058728696453,5.066985260248733,0.0,1012.4192768309534,0.21,2.25,277.3232044198895,0.009668508287292817,37.82127071823204,1013.7541436464088
2016-04-18,0.44000000000000006,0.7661868017966141,254.5667396061269,6.7891396982609695,0.0,1017.7565357595302,0.0,0.0,243.0470914127424,1.581767955801105,50.3646408839779,1017.9060773480663
2016-04-19,6.87,0.1612409347300564,174.76286404972947,9.541579371474617,0.0,1023.2408196155175,1.02,5.71,218.06906077348066,0.23591160220994475,35.90773480662983,1024.0
2016-04-20,12.459999999999999,0.5334637964774951,58.13468401059054,8.385990560607805,0.0,1024.1609301254748,1.02,5.73,58.02209944751381,1.3013812154696134,28.999723756906082,1023.3839779005525
2016-04-21,0.14,0.7126366670502934,36.49833122338589,8.32541143975141,0.0,1019.51076073196,0.04,0.14,42.89779005524862,1.4016574585635357,42.187569060773484,1018.0
2016-04-22,0.0,0.695118019573978,46.557512953367876,6.582636729994243,4.36,1017.442026482441,0.0,0.0,45.146408839779006,0.5011049723756906,81.34447513812154,1016.0
2016-04-23,3.4399999999999995,0.4541181891487156,226.72894827784816,5.34323234650386,0.0,1016.7893099873287,0.060000000000000005,0.16999999999999998,152.94475138121547,0.43011049723756906,37.98342541436464,1017.0
2016-04-24,4.24,0.7160889093631234,235.3486122307958,5.462248070943222,0.4,1015.9989634918807,0.19,0.19,240.78176795580112,0.780939226519337,63.19281767955801,1016.0
2016-04-25,2.43,1.4381594102741302,242.3738769868694,6.235233817092836,2.02,1007.5338631651694,0.9400000000000001,2.43,295.3867403314917,5.204132231404959,49.22424242424242,1004.4104683195592
