date,total_sun_per_day,mean_wind_per_day,mean_wind_direction_per_day,mean_temperature_per_day,mean_rain_per_day,mean_pressure_per_day,total_sun_3to4pm,mean_wind_direction_9to10am,mean_wind_9to10am,mean_humidity_9to10am,mean_pressure_9to10am
2021-02-23,2.61,1.7258614728592832,177.8471822058315,7.52610349199032,4.609888210210903e-06,1016.5197303215398,0.19,171.97513812154696,2.4293628808864267,60.9578947368421,1016.416897506925
2021-02-24,0.97,2.364934915332335,193.8194908420689,11.196025803478861,0.0,1016.0459394079024,0.0,193.72651933701658,1.8091160220994478,67.2,1015.839226519337
2021-02-25,1.46,0.37480414746543783,266.990668202765,6.8819470046082944,0.0,1021.9208064516129,0.21000000000000002,265.6160220994475,0.387292817679558,49.95331491712707,1023.1262430939227
2021-02-26,8.82,0.07440681870536744,281.7970513706519,4.201301543423174,0.0,1031.0146855563235,0.54,232.42382271468145,0.3580110497237569,44.687845303867405,1031.4093922651932
2021-02-27,9.01,0.00939875604699378,155.81847500575904,3.6318244644091218,0.0,1034.185418106427,0.6400000000000001,153.59279778393352,0.06104972375690608,51.52734806629834,1034.0701657458565
2021-02-28,8.219999999999999,0.12811888031332797,33.524824328994356,3.2154705679069226,2.3038820412394885e-06,1030.6200207349382,1.01,0.0,0.6658402203856749,56.10606060606061,1029.32782369146
2021-03-01,4.300000000000001,0.2790528862772209,50.14506279525291,2.8597879940085265,1.1522064754003917e-06,1026.169408918078,1.01,48.02493074792244,0.7464088397790055,62.90801104972375,1025.1875690607735
2021-03-02,1.07,0.10730498905403847,49.67208203710105,1.9321235165341626,0.0,1024.4920382532553,0.8300000000000001,71.96132596685082,0.24337016574585638,69.8975138121547,1023.7933701657457
2021-03-03,0.0,0.00671900253982914,103.77003001616255,3.999064881089817,0.0003555760794273839,1021.8682521357655,0.0,173.72375690607734,0.0,85.6546218487395,1021.2002801120447
2021-03-04,0.0,0.16076036866359447,70.45437788018434,2.1468663594470043,0.0001797235023041475,1020.5872695852535,0.0,150.1049723756906,0.06740331491712707,77.91077348066298,1020.3941988950274
2021-03-05,0.0,0.3454755043227666,53.46040345821326,2.0454293948126803,0.0,1026.4447838616716,0.0,38.60220994475138,0.7609418282548478,48.381440443213286,1027.0163434903047
2021-03-06,3.7499999999999996,0.08229598893499308,120.67727063162748,0.3494121715076071,0.0,1027.662828492393,0.91,77.74238227146814,0.287292817679558,42.00580110497238,1026.7306629834254
2021-03-07,5.38,0.05142857142857143,195.8323732718894,1.3850921658986175,0.0,1022.1751843317971,1.02,142.74309392265192,0.27146814404432135,42.3409972299169,1020.7620498614958
2021-03-08,1.3399999999999999,0.044258704173391755,276.32430251325803,3.769114595342402,0.0,1018.6689301360386,0.43000000000000005,257.3213296398892,0.17900552486187848,42.129558011049724,1017.8046961325966
2021-03-09,8.370000000000001,0.7035615491009681,237.3710235131397,4.068775933609959,0.0,1015.2849239280774,0.32,266.93093922651934,1.3187845303867403,45.23425414364641,1014.8218232044201
2021-03-10,0.0,2.755868111597879,194.99377449850127,6.150334332487895,0.00040350472676965645,1001.8667627392207,0.0,191.59116022099448,3.5606648199445985,88.32991689750693,998.4542936288088
2021-03-11,3.6000000000000005,4.130171718335831,240.88394606430793,6.048092658753025,0.00047366601359917027,994.1890284660597,0.16000000000000003,247.8060941828255,3.66878453038674,67.2732044198895,996.0055248618785
2021-03-12,3.7,2.5577588194604566,220.99930827761125,4.689739451233571,0.00024556144800553376,998.4434055798939,0.5900000000000001,226.08963585434174,4.538950276243094,52.28093922651933,998.5928176795579
2021-03-13,4.359999999999999,3.1729661212260885,254.197395713298,4.002638856879465,0.00043327955750172855,994.1758239225629,0.6100000000000001,266.9779005524862,4.74889502762431,42.4292817679558,996.5165745856353
2021-03-14,1.6800000000000002,2.0134409221902017,269.3051296829971,5.309602305475504,2.420749279538905e-05,1009.8164956772334,0.0,286.0911602209945,2.878947368421053,55.85678670360111,1011.6963988919669
2021-03-15,2.83,1.3301347770994125,308.5020158967861,6.9882847598202975,3.340628959797258e-05,1017.0058173021541,0.6799999999999999,321.3961218836565,3.146961325966851,50.569060773480665,1018.6668508287294
