day,time,centre,distance_to_oxford,filename,path,nan_fraction,date
29,10:35:00,"(42.255595, 4.753048250000001)",11.238807874899504,MOD021KM.A2021241.1035.061.2021241193432.hdf,2021/08/29/MOD021KM.A2021241.1035.061.2021241193432.hdf,0.358188,2021-08-29
30,11:15:00,"(53.23462225, -1.7142842500000008)",1.551334236566421,MOD021KM.A2021242.1115.061.2021242194121.hdf,2021/08/30/MOD021KM.A2021242.1115.061.2021242194121.hdf,0.0,2021-08-30
31,10:20:00,"(51.06970275, 11.20860375)",12.484961302487951,MOD021KM.A2021243.1020.061.2021243195402.hdf,2021/08/31/MOD021KM.A2021243.1020.061.2021243195402.hdf,0.000304,2021-08-31
1,11:05:00,"(45.09951875, -1.9674982500000002)",6.69024067857836,MOD021KM.A2021244.1105.061.2021244193430.hdf,2021/09/01/MOD021KM.A2021244.1105.061.2021244193430.hdf,2.0,2021-09-01
2,10:10:00,"(42.91581325, 11.1695645)",15.24844579732098,MOD021KM.A2021245.1010.061.2021250223141.hdf,2021/09/02/MOD021KM.A2021245.1010.061.2021250223141.hdf,0.390548,2021-09-02
3,10:50:00,"(53.941239249999995, 4.798254249999999)",6.439514762141134,MOD021KM.A2021246.1050.061.2021246194516.hdf,2021/09/03/MOD021KM.A2021246.1050.061.2021246194516.hdf,0.0,2021-09-03
4,09:55:00,"(51.763428000000005, 17.694403750000003)",18.952107195505945,MOD021KM.A2021247.0955.061.2021247193615.hdf,2021/09/04/MOD021KM.A2021247.0955.061.2021247193615.hdf,0.87508,2021-09-04
5,10:40:00,"(45.838997, 4.4807375)",8.239737217861702,MOD021KM.A2021248.1040.061.2021248193318.hdf,2021/09/05/MOD021KM.A2021248.1040.061.2021248193318.hdf,0.0,2021-09-05
6,11:20:00,"(56.75198225, -1.5061704999999996)",5.006152223982533,MOD021KM.A2021249.1120.061.2021249193219.hdf,2021/09/06/MOD021KM.A2021249.1120.061.2021249193219.hdf,0.0,2021-09-06
7,10:25:00,"(54.6877595, 11.334349)",12.929747942641466,MOD021KM.A2021250.1025.061.2021250193340.hdf,2021/09/07/MOD021KM.A2021250.1025.061.2021250193340.hdf,0.0,2021-09-07
8,11:10:00,"(48.778328249999994, -2.11226275)",3.0940266919397565,MOD021KM.A2021251.1110.061.2021251205230.hdf,2021/09/08/MOD021KM.A2021251.1110.061.2021251205230.hdf,0.0,2021-09-08
9,10:15:00,"(46.6012755, 10.94350575)",13.243843272582671,MOD021KM.A2021252.1015.061.2021252193543.hdf,2021/09/09/MOD021KM.A2021252.1015.061.2021252193543.hdf,0.009652,2021-09-09
10,10:55:00,"(57.47729375, 5.060975250000001)",8.526701908636868,MOD021KM.A2021253.1055.061.2021253192847.hdf,2021/09/10/MOD021KM.A2021253.1055.061.2021253192847.hdf,0.167648,2021-09-10
11,10:00:00,"(55.41730475, 17.872058250000002)",19.47773368782456,MOD021KM.A2021254.1000.061.2021254194907.hdf,2021/09/11/MOD021KM.A2021254.1000.061.2021254194907.hdf,0.568024,2021-09-11
12,10:45:00,"(49.569008000000004, 4.381252)",6.046753982953828,MOD021KM.A2021255.1045.061.2021255192748.hdf,2021/09/12/MOD021KM.A2021255.1045.061.2021255192748.hdf,0.0,2021-09-12
13,11:30:00,"(43.509474, -8.726727)",11.12320094160872,MOD021KM.A2021256.1130.061.2021256201856.hdf,2021/09/13/MOD021KM.A2021256.1130.061.2021256201856.hdf,0.415612,2021-09-13
14,10:30:00,"(58.185235500000005, 11.6298955)",14.40404931851042,MOD021KM.A2021257.1030.061.2021257205057.hdf,2021/09/14/MOD021KM.A2021257.1030.061.2021257205057.hdf,0.436408,2021-09-14
15,11:15:00,"(52.41328024999999, -2.1136767500000007)",1.0816597272620505,MOD021KM.A2021258.1115.061.2021258193835.hdf,2021/09/15/MOD021KM.A2021258.1115.061.2021258193835.hdf,0.0,2021-09-15
16,10:20:00,"(50.298916750000004, 10.861331999999999)",12.205834160288044,MOD021KM.A2021259.1020.061.2021259193134.hdf,2021/09/16/MOD021KM.A2021259.1020.061.2021259193134.hdf,0.000208,2021-09-16
17,11:05:00,"(44.291106750000004, -2.2748795)",7.52991249770645,MOD021KM.A2021260.1105.061.2021260193618.hdf,2021/09/17/MOD021KM.A2021260.1105.061.2021260193618.hdf,0.050692,2021-09-17
18,10:10:00,"(42.080445000000005, 10.867708749999998)",15.510142277638897,MOD021KM.A2021261.1010.061.2021261193501.hdf,2021/09/18/MOD021KM.A2021261.1010.061.2021261193501.hdf,0.513808,2021-09-18
19,10:50:00,"(53.12961775000001, 4.393216999999999)",5.8164158728553845,MOD021KM.A2021262.1050.061.2021262192335.hdf,2021/09/19/MOD021KM.A2021262.1050.061.2021262192335.hdf,0.0,2021-09-19
20,09:55:00,"(51.01521425, 17.347796499999998)",18.62007930307804,MOD021KM.A2021263.0955.061.2021264002424.hdf,2021/09/20/MOD021KM.A2021263.0955.061.2021264002424.hdf,0.871168,2021-09-20
21,10:40:00,"(45.02110075, 4.163063750000001)",8.642319384688617,MOD021KM.A2021264.1040.061.2021264192709.hdf,2021/09/21/MOD021KM.A2021264.1040.061.2021264192709.hdf,0.0,2021-09-21
23,10:25:00,"(53.830839, 10.898812750000001)",12.332979114100272,MOD021KM.A2021266.1025.061.2021266192950.hdf,2021/09/23/MOD021KM.A2021266.1025.061.2021266192950.hdf,0.0,2021-09-23
24,11:10:00,"(47.931585, -2.469453749999999)",4.007981776762975,MOD021KM.A2021267.1110.061.2021267192646.hdf,2021/09/24/MOD021KM.A2021267.1110.061.2021267192646.hdf,0.0,2021-09-24
25,10:15:00,"(45.77683225, 10.61812025)",13.294274566554964,MOD021KM.A2021268.1015.061.2021271173424.hdf,2021/09/25/MOD021KM.A2021268.1015.061.2021271173424.hdf,0.008944,2021-09-25
26,10:55:00,"(56.63546000000001, 4.58847475)",7.617476011064139,MOD021KM.A2021269.1055.061.2021270220023.hdf,2021/09/26/MOD021KM.A2021269.1055.061.2021270220023.hdf,0.002512,2021-09-26
27,10:00:00,"(54.51369525, 17.405448500000002)",18.866374124004984,MOD021KM.A2021270.1000.061.2021271201918.hdf,2021/09/27/MOD021KM.A2021270.1000.061.2021271201918.hdf,0.565108,2021-09-27
28,10:45:00,"(48.629441500000006, 3.98368925)",6.101027196787259,MOD021KM.A2021271.1045.061.2021271235457.hdf,2021/09/28/MOD021KM.A2021271.1045.061.2021271235457.hdf,0.0,2021-09-28
29,11:25:00,"(59.386191749999995, -1.6010185000000003)",7.641907567368909,MOD021KM.A2021272.1125.061.2021272194003.hdf,2021/09/29/MOD021KM.A2021272.1125.061.2021272194003.hdf,0.380136,2021-09-29
30,10:30:00,"(57.3398875, 11.1420505)",13.600672747144037,MOD021KM.A2021273.1030.061.2021274203905.hdf,2021/09/30/MOD021KM.A2021273.1030.061.2021274203905.hdf,0.246148,2021-09-30
1,11:15:00,"(51.44449575, -2.5597305)",1.3378498744994944,MOD021KM.A2021274.1115.061.2021274230555.hdf,2021/10/01/MOD021KM.A2021274.1115.061.2021274230555.hdf,2.0,2021-10-01
2,10:20:00,"(49.308282750000004, 10.452843)",11.9627994780819,MOD021KM.A2021275.1020.061.2021276015521.hdf,2021/10/02/MOD021KM.A2021275.1020.061.2021276015521.hdf,0.000228,2021-10-02
3,11:05:00,"(43.31236425, -2.62990175)",8.55046134634741,MOD021KM.A2021276.1105.061.2021276194328.hdf,2021/10/03/MOD021KM.A2021276.1105.061.2021276194328.hdf,0.273472,2021-10-03
4,10:05:00,"(57.98274175, 17.678435)",19.93487776469718,MOD021KM.A2021277.1005.061.2021277202305.hdf,2021/10/04/MOD021KM.A2021277.1005.061.2021277202305.hdf,0.584012,2021-10-04
5,10:50:00,"(52.14540925000001, 3.9354609999999997)",5.208041091418785,MOD021KM.A2021278.1050.061.2021278192925.hdf,2021/10/05/MOD021KM.A2021278.1050.061.2021278192925.hdf,0.0,2021-10-05
6,09:55:00,"(49.96798825, 16.89454725)",18.23970334597772,MOD021KM.A2021279.0955.061.2021279193403.hdf,2021/10/06/MOD021KM.A2021279.0955.061.2021279193403.hdf,0.869496,2021-10-06
7,10:40:00,"(43.98178, 3.7832012500000007)",9.26212741548353,MOD021KM.A2021280.1040.061.2021281045353.hdf,2021/10/07/MOD021KM.A2021280.1040.061.2021281045353.hdf,0.01484,2021-10-07
8,11:20:00,"(54.941611, -2.4681387499999996)",3.411565666790331,MOD021KM.A2021281.1120.061.2021281193242.hdf,2021/10/08/MOD021KM.A2021281.1120.061.2021281193242.hdf,0.0,2021-10-08
9,10:25:00,"(52.83032125, 10.42299375)",11.73036159713291,MOD021KM.A2021282.1025.061.2021282193559.hdf,2021/10/09/MOD021KM.A2021282.1025.061.2021282193559.hdf,0.0,2021-10-09
10,11:10:00,"(46.8081435, -2.9077777499999997)",5.211954880238061,MOD021KM.A2021283.1110.061.2021283193458.hdf,2021/10/10/MOD021KM.A2021283.1110.061.2021283193458.hdf,0.0,2021-10-10
11,10:15:00,"(44.63073725, 10.1998415)",13.490279477414832,MOD021KM.A2021284.1015.061.2021284192413.hdf,2021/10/11/MOD021KM.A2021284.1015.061.2021284192413.hdf,0.009196,2021-10-11
12,10:55:00,"(55.56263475, 4.023788499999999)",6.512684390751619,MOD021KM.A2021285.1055.061.2021285192811.hdf,2021/10/12/MOD021KM.A2021285.1055.061.2021285192811.hdf,0.0,2021-10-12
